experiment,config_hash,result_file,gate,verdict,summary
causal_fhn_g1,abbd95154d3fba0c417d7bdbd70752e225a01e4e2d14d33291cab039ec883e82,experiments/reports/causal_fhn_g1.json,G1,PASS,"{'verdict': 'PASS', 'fast_E12': 1.8191438299187696e-14, 'slow_E12': 0.11167890169532624, 'static_E12': 0.08439058951907773, 'average_graph_E12': 5.553363582550421e-16, 'avg_graph_minus_fast': -1.76361"
identifiability_g4,abbd95154d3fba0c417d7bdbd70752e225a01e4e2d14d33291cab039ec883e82,experiments/reports/identifiability_g4.json,G4,FAIL,"{'basis_precision': 0.34576365663322184, 'basis_recall': 0.34576365663322184, 'levelcorr_precision': 0.20156075808249718, 'levelcorr_recall': 0.20156075808249718, 'contraction_corr': 0.217492720677657"
msf_minimal,abbd95154d3fba0c417d7bdbd70752e225a01e4e2d14d33291cab039ec883e82,experiments/reports/msf_minimal.json,G0-support,PARTIAL,"{11.0: 0.05, 25.0: 0.05, 100.0: 0.05}"
reproduction_g0,abbd95154d3fba0c417d7bdbd70752e225a01e4e2d14d33291cab039ec883e82,experiments/reports/reproduction_g0.json,G0,PASS,"chaos confirmed; fast switching synchronizes, slow does not"
surrogate_causal_g1_g2,abbd95154d3fba0c417d7bdbd70752e225a01e4e2d14d33291cab039ec883e82,experiments/reports/surrogate_causal_g1_g2.json,G1/G2,PASS,G1=PASS G2=AGG_CONNECTIVITY
surrogate_stages_g3,abbd95154d3fba0c417d7bdbd70752e225a01e4e2d14d33291cab039ec883e82,experiments/reports/surrogate_stages_g3.json,G3,PASS,"{'verdict': 'PASS', 'stages_with_advantage': ['faithful', 'mild_heterogeneity', 'strong_heterogeneity', 'directed', 'signed'], 'first_stage_without_advantage': None, 'note': 'advantage = gamma_fast - "
